Geografía;Tipología penal;Periodos:;Total
-Municipio de Badalona;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;0
-Municipio de Badalona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;7
-Municipio de Badalona;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;90
-Municipio de Badalona;4.-Secuestro;Enero-septiembre 2022;0
-Municipio de Badalona;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;72
-Municipio de Badalona;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;17
-Municipio de Badalona;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;55
-Municipio de Badalona;6.-Robos con violencia e intimidación;Enero-septiembre 2022;1.070
-Municipio de Badalona;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;671
-Municipio de Badalona;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;376
-Municipio de Badalona;8.-Hurtos;Enero-septiembre 2022;2.890
-Municipio de Badalona;9.-Sustracciones de vehículos;Enero-septiembre 2022;173
-Municipio de Badalona;10.-Tráfico de drogas;Enero-septiembre 2022;41
-Municipio de Badalona;Resto de infracciones penales;Enero-septiembre 2022;5.247
-Municipio de Badalona;TOTAL INFRACCIONES PENALES;Enero-septiembre 2022;10.261
-Municipio de Barberà del Vallès;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;0
-Municipio de Barberà del Vallès;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;0
-Municipio de Barberà del Vallès;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-septiembre 2022;14
-Municipio de Barberà del Vallès;4.-Secuestro;Enero-septiembre 2022;0
-Municipio de Barberà del Vallès;5.-Delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;9
-Municipio de Barberà del Vallès;5.1.-Agresión sexual con penetración;Enero-septiembre 2022;3
-Municipio de Barberà del Vallès;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-septiembre 2022;6
-Municipio de Barberà del Vallès;6.-Robos con violencia e intimidación;Enero-septiembre 2022;42
-Municipio de Barberà del Vallès;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-septiembre 2022;127
-Municipio de Barberà del Vallès;7.1.-Robos con fuerza en domicilios;Enero-septiembre 2022;70
-Municipio de Barberà del Vallès;8.-Hurtos;Enero-septiembre 2022;355
-Municipio de Barberà del Vallès;9.-Sustracciones de vehículos;Enero-septiembre 2022;20
-Municipio de Barberà del Vallès;10.-Tráfico de drogas;Enero-septiembre 2022;6
-Municipio de Barberà del Vallès;Resto de infracciones penales;Enero-septiembre 2022;628
-Municipio de Barberà del Vallès;TOTAL INFRACCIONES PENALES;Enero-septiembre 2022;1.201
-Municipio de Barcelona;1.-Homicidios dolosos y asesinatos consumados;Enero-septiembre 2022;8
-Municipio de Barcelona;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-septiembre 2022;26
