Geografía;Tipología penal;Periodos:;Total
-Municipio de Alcalá de Henares;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;5.304
-Municipio de Alcalá de Henares;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;1
-Municipio de Alcalá de Henares;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;6
-Municipio de Alcalá de Henares;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;66
-Municipio de Alcalá de Henares;4. Secuestro;enero-septiembre 2023;0
-Municipio de Alcalá de Henares;5. Delitos contra la libertad sexual;enero-septiembre 2023;41
-Municipio de Alcalá de Henares;5.1.-Agresión sexual con penetración;enero-septiembre 2023;7
-Municipio de Alcalá de Henares;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;34
-Municipio de Alcalá de Henares;6. Robos con violencia e intimidación;enero-septiembre 2023;141
-Municipio de Alcalá de Henares;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;200
-Municipio de Alcalá de Henares;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;114
-Municipio de Alcalá de Henares;8. Hurtos;enero-septiembre 2023;1.717
-Municipio de Alcalá de Henares;9. Sustracciones de vehículos;enero-septiembre 2023;177
-Municipio de Alcalá de Henares;10. Tráfico de drogas;enero-septiembre 2023;49
-Municipio de Alcalá de Henares;11. Resto de criminalidad convencional;enero-septiembre 2023;2.906
-Municipio de Alcalá de Henares;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;1.789
-Municipio de Alcalá de Henares;12.-Estafas informáticas;enero-septiembre 2023;1.546
-Municipio de Alcalá de Henares;13.-Otros ciberdelitos;enero-septiembre 2023;243
-Municipio de Alcalá de Henares;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;7.093
-Municipio de Alcobendas;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;2.990
-Municipio de Alcobendas;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;2
-Municipio de Alcobendas;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;1
-Municipio de Alcobendas;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;31
-Municipio de Alcobendas;4. Secuestro;enero-septiembre 2023;0
-Municipio de Alcobendas;5. Delitos contra la libertad sexual;enero-septiembre 2023;35
-Municipio de Alcobendas;5.1.-Agresión sexual con penetración;enero-septiembre 2023;7
-Municipio de Alcobendas;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;28
-Municipio de Alcobendas;6. Robos con violencia e intimidación;enero-septiembre 2023;61
-Municipio de Alcobendas;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;174
-Municipio de Alcobendas;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;109
-Municipio de Alcobendas;8. Hurtos;enero-septiembre 2023;884
-Municipio de Alcobendas;9. Sustracciones de vehículos;enero-septiembre 2023;120
-Municipio de Alcobendas;10. Tráfico de drogas;enero-septiembre 2023;40
-Municipio de Alcobendas;11. Resto de criminalidad convencional;enero-septiembre 2023;1.642
-Municipio de Alcobendas;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;863
-Municipio de Alcobendas;12.-Estafas informáticas;enero-septiembre 2023;788
-Municipio de Alcobendas;13.-Otros ciberdelitos;enero-septiembre 2023;75
-Municipio de Alcobendas;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;3.853
-Municipio de Alcorcón;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;4.439
-Municipio de Alcorcón;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;0
-Municipio de Alcorcón;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;3
-Municipio de Alcorcón;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;26
-Municipio de Alcorcón;4. Secuestro;enero-septiembre 2023;0
-Municipio de Alcorcón;5. Delitos contra la libertad sexual;enero-septiembre 2023;18
-Municipio de Alcorcón;5.1.-Agresión sexual con penetración;enero-septiembre 2023;1
-Municipio de Alcorcón;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;17
