Geografía;Tipología penal;Periodos:;Total
- Municipio de Alcalá de Henares;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;7.008
- Municipio de Alcalá de Henares;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;1
- Municipio de Alcalá de Henares;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;223
- Municipio de Alcalá de Henares;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;214
- Municipio de Alcalá de Henares;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;282
- Municipio de Alcalá de Henares;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2016;33
- Municipio de Alcalá de Henares;7.-DAÑOS;Enero-Septiembre 2016;1.173
- Municipio de Alcalá de Henares;8.-HURTOS;Enero-Septiembre 2016;2.138
- Municipio de Alcobendas;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;3.540
- Municipio de Alcobendas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;0
- Municipio de Alcobendas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;127
- Municipio de Alcobendas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;124
- Municipio de Alcobendas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;114
- Municipio de Alcobendas;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2016;10
- Municipio de Alcobendas;7.-DAÑOS;Enero-Septiembre 2016;476
- Municipio de Alcobendas;8.-HURTOS;Enero-Septiembre 2016;1.213
- Municipio de Alcorcón;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;4.997
- Municipio de Alcorcón;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;0
- Municipio de Alcorcón;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;281
- Municipio de Alcorcón;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;224
- Municipio de Alcorcón;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;178
- Municipio de Alcorcón;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2016;23
- Municipio de Alcorcón;7.-DAÑOS;Enero-Septiembre 2016;612
- Municipio de Alcorcón;8.-HURTOS;Enero-Septiembre 2016;1.794
- Municipio de Aranjuez;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;1.952
- Municipio de Aranjuez;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;0
- Municipio de Aranjuez;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;51
- Municipio de Aranjuez;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;87
- Municipio de Aranjuez;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;50
- Municipio de Aranjuez;6.-TRÁFICO DE DROGAS (EU);Enero-Septiembre 2016;12
- Municipio de Aranjuez;7.-DAÑOS;Enero-Septiembre 2016;352
- Municipio de Aranjuez;8.-HURTOS;Enero-Septiembre 2016;569
- Municipio de Arganda del Rey;1.-DELITOS Y FALTAS (EU);Enero-Septiembre 2016;1.867
- Municipio de Arganda del Rey;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);Enero-Septiembre 2016;0
- Municipio de Arganda del Rey;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);Enero-Septiembre 2016;69
- Municipio de Arganda del Rey;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);Enero-Septiembre 2016;82
- Municipio de Arganda del Rey;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);Enero-Septiembre 2016;64
