Geografía;Tipología penal;Periodos:;Total
Provincia de ALMERÍA;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;6
Provincia de ALMERÍA;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;20
Provincia de ALMERÍA;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;317
Provincia de ALMERÍA;4.-Secuestro;Enero-diciembre 2020;5
Provincia de ALMERÍA;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;267
Provincia de ALMERÍA;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;40
Provincia de ALMERÍA;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;227
Provincia de ALMERÍA;6.-Robos con violencia e intimidación;Enero-diciembre 2020;383
Provincia de ALMERÍA;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;1.618
Provincia de ALMERÍA;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;1.324
Provincia de ALMERÍA;8.-Hurtos;Enero-diciembre 2020;3.723
Provincia de ALMERÍA;9.-Sustracciones de vehículos;Enero-diciembre 2020;248
Provincia de ALMERÍA;10.-Tráfico de drogas;Enero-diciembre 2020;541
Provincia de ALMERÍA;Resto de infracciones penales;Enero-diciembre 2020;16.481
Provincia de ALMERÍA;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;23.609
- Municipio de Alcalá de Henares;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;1
- Municipio de Alcalá de Henares;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;1
- Municipio de Alcalá de Henares;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;43
- Municipio de Alcalá de Henares;4.-Secuestro;Enero-diciembre 2020;1
- Municipio de Alcalá de Henares;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;49
- Municipio de Alcalá de Henares;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;3
- Municipio de Alcalá de Henares;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;46
- Municipio de Alcalá de Henares;6.-Robos con violencia e intimidación;Enero-diciembre 2020;151
- Municipio de Alcalá de Henares;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;293
- Municipio de Alcalá de Henares;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;137
- Municipio de Alcalá de Henares;8.-Hurtos;Enero-diciembre 2020;1.826
- Municipio de Alcalá de Henares;9.-Sustracciones de vehículos;Enero-diciembre 2020;166
- Municipio de Alcalá de Henares;10.-Tráfico de drogas;Enero-diciembre 2020;41
- Municipio de Alcalá de Henares;Resto de infracciones penales;Enero-diciembre 2020;5.487
- Municipio de Alcalá de Henares;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;8.059
- Municipio de Alcobendas;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;0
- Municipio de Alcobendas;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;3
- Municipio de Alcobendas;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;40
- Municipio de Alcobendas;4.-Secuestro;Enero-diciembre 2020;0
- Municipio de Alcobendas;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;42
- Municipio de Alcobendas;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;5
- Municipio de Alcobendas;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;37
- Municipio de Alcobendas;6.-Robos con violencia e intimidación;Enero-diciembre 2020;78
- Municipio de Alcobendas;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;161
- Municipio de Alcobendas;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;85
- Municipio de Alcobendas;8.-Hurtos;Enero-diciembre 2020;933
- Municipio de Alcobendas;9.-Sustracciones de vehículos;Enero-diciembre 2020;225
- Municipio de Alcobendas;10.-Tráfico de drogas;Enero-diciembre 2020;25
- Municipio de Alcobendas;Resto de infracciones penales;Enero-diciembre 2020;2.811
- Municipio de Alcobendas;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;4.318
- Municipio de Alcorcón;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;1
- Municipio de Alcorcón;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;2
- Municipio de Alcorcón;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;32
- Municipio de Alcorcón;4.-Secuestro;Enero-diciembre 2020;0
- Municipio de Alcorcón;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;29
- Municipio de Alcorcón;5.1.-Agresión sexual con penetración;Enero-diciembre 2020;3
- Municipio de Alcorcón;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;26
- Municipio de Alcorcón;6.-Robos con violencia e intimidación;Enero-diciembre 2020;202
- Municipio de Alcorcón;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2020;220
- Municipio de Alcorcón;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2020;112
- Municipio de Alcorcón;8.-Hurtos;Enero-diciembre 2020;1.757
- Municipio de Alcorcón;9.-Sustracciones de vehículos;Enero-diciembre 2020;120
- Municipio de Alcorcón;10.-Tráfico de drogas;Enero-diciembre 2020;26
- Municipio de Alcorcón;Resto de infracciones penales;Enero-diciembre 2020;3.468
- Municipio de Alcorcón;TOTAL INFRACCIONES PENALES;Enero-diciembre 2020;5.857
- Municipio de Aranjuez;1.-Homicidios dolosos y asesinatos consumados;Enero-diciembre 2020;0
- Municipio de Aranjuez;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2020;0
- Municipio de Aranjuez;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2020;20
- Municipio de Aranjuez;4.-Secuestro;Enero-diciembre 2020;0
- Municipio de Aranjuez;5.-Delitos contra la libertad e indemnidad sexual;Enero-diciembre 2020;8
