Geografía;Tipología penal;Periodos:;Total
28005 Alcalá de Henares;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;1.848
28005 Alcalá de Henares;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;1
28005 Alcalá de Henares;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;3
28005 Alcalá de Henares;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;17
28005 Alcalá de Henares;4. Secuestro;enero-marzo 2025;1
28005 Alcalá de Henares;5. Delitos contra la libertad sexual;enero-marzo 2025;18
28005 Alcalá de Henares;5.1.-Agresión sexual con penetración;enero-marzo 2025;5
28005 Alcalá de Henares;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;13
28005 Alcalá de Henares;6. Robos con violencia e intimidación;enero-marzo 2025;32
28005 Alcalá de Henares;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;84
28005 Alcalá de Henares;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;44
28005 Alcalá de Henares;8. Hurtos;enero-marzo 2025;521
28005 Alcalá de Henares;9. Sustracciones de vehículos;enero-marzo 2025;63
28005 Alcalá de Henares;10. Tráfico de drogas;enero-marzo 2025;20
28005 Alcalá de Henares;11. Resto de criminalidad convencional;enero-marzo 2025;1.088
28005 Alcalá de Henares;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;649
28005 Alcalá de Henares;12.-Estafas informáticas;enero-marzo 2025;537
28005 Alcalá de Henares;13.-Otros ciberdelitos;enero-marzo 2025;112
28005 Alcalá de Henares;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;2.497
28006 Alcobendas;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;1.045
28006 Alcobendas;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
28006 Alcobendas;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;1
28006 Alcobendas;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;4
28006 Alcobendas;4. Secuestro;enero-marzo 2025;0
28006 Alcobendas;5. Delitos contra la libertad sexual;enero-marzo 2025;10
28006 Alcobendas;5.1.-Agresión sexual con penetración;enero-marzo 2025;0
28006 Alcobendas;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;10
28006 Alcobendas;6. Robos con violencia e intimidación;enero-marzo 2025;17
28006 Alcobendas;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;50
28006 Alcobendas;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;31
28006 Alcobendas;8. Hurtos;enero-marzo 2025;309
