Geografía;Tipología penal;Periodos:;Total
- Municipio de Alcalá de Henares;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;0
- Municipio de Alcalá de Henares;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;1
- Municipio de Alcalá de Henares;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;10
- Municipio de Alcalá de Henares;4.-Secuestro;Enero-marzo 2020;1
- Municipio de Alcalá de Henares;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;12
- Municipio de Alcalá de Henares;5.1.-Agresión sexual con penetración;Enero-marzo 2020;0
- Municipio de Alcalá de Henares;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;12
- Municipio de Alcalá de Henares;6.-Robos con violencia e intimidación;Enero-marzo 2020;45
- Municipio de Alcalá de Henares;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2020;65
- Municipio de Alcalá de Henares;7.1.-Robos con fuerza en domicilios;Enero-marzo 2020;26
- Municipio de Alcalá de Henares;8.-Hurtos;Enero-marzo 2020;533
- Municipio de Alcalá de Henares;9.-Sustracciones de vehículos;Enero-marzo 2020;49
- Municipio de Alcalá de Henares;10.-Tráfico de drogas;Enero-marzo 2020;12
- Municipio de Alcalá de Henares;Resto de infracciones penales;Enero-marzo 2020;1.345
- Municipio de Alcalá de Henares;TOTAL INFRACCIONES PENALES;Enero-marzo 2020;2.073
- Municipio de Alcobendas;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;0
- Municipio de Alcobendas;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;1
- Municipio de Alcobendas;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;7
- Municipio de Alcobendas;4.-Secuestro;Enero-marzo 2020;0
- Municipio de Alcobendas;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;10
- Municipio de Alcobendas;5.1.-Agresión sexual con penetración;Enero-marzo 2020;2
- Municipio de Alcobendas;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;8
- Municipio de Alcobendas;6.-Robos con violencia e intimidación;Enero-marzo 2020;24
- Municipio de Alcobendas;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2020;66
- Municipio de Alcobendas;7.1.-Robos con fuerza en domicilios;Enero-marzo 2020;28
- Municipio de Alcobendas;8.-Hurtos;Enero-marzo 2020;246
- Municipio de Alcobendas;9.-Sustracciones de vehículos;Enero-marzo 2020;48
- Municipio de Alcobendas;10.-Tráfico de drogas;Enero-marzo 2020;3
- Municipio de Alcobendas;Resto de infracciones penales;Enero-marzo 2020;700
- Municipio de Alcobendas;TOTAL INFRACCIONES PENALES;Enero-marzo 2020;1.105
- Municipio de Alcorcón;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;0
- Municipio de Alcorcón;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;0
- Municipio de Alcorcón;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;11
- Municipio de Alcorcón;4.-Secuestro;Enero-marzo 2020;0
- Municipio de Alcorcón;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;8
- Municipio de Alcorcón;5.1.-Agresión sexual con penetración;Enero-marzo 2020;1
- Municipio de Alcorcón;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;7
- Municipio de Alcorcón;6.-Robos con violencia e intimidación;Enero-marzo 2020;78
- Municipio de Alcorcón;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2020;60
- Municipio de Alcorcón;7.1.-Robos con fuerza en domicilios;Enero-marzo 2020;19
- Municipio de Alcorcón;8.-Hurtos;Enero-marzo 2020;544
- Municipio de Alcorcón;9.-Sustracciones de vehículos;Enero-marzo 2020;34
- Municipio de Alcorcón;10.-Tráfico de drogas;Enero-marzo 2020;4
- Municipio de Alcorcón;Resto de infracciones penales;Enero-marzo 2020;864
- Municipio de Alcorcón;TOTAL INFRACCIONES PENALES;Enero-marzo 2020;1.603
- Municipio de Aranjuez;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;0
- Municipio de Aranjuez;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;0
- Municipio de Aranjuez;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;5
- Municipio de Aranjuez;4.-Secuestro;Enero-marzo 2020;0
- Municipio de Aranjuez;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;0
- Municipio de Aranjuez;5.1.-Agresión sexual con penetración;Enero-marzo 2020;0
- Municipio de Aranjuez;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;0
- Municipio de Aranjuez;6.-Robos con violencia e intimidación;Enero-marzo 2020;9
- Municipio de Aranjuez;7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2020;29
- Municipio de Aranjuez;7.1.-Robos con fuerza en domicilios;Enero-marzo 2020;19
- Municipio de Aranjuez;8.-Hurtos;Enero-marzo 2020;135
- Municipio de Aranjuez;9.-Sustracciones de vehículos;Enero-marzo 2020;5
- Municipio de Aranjuez;10.-Tráfico de drogas;Enero-marzo 2020;7
- Municipio de Aranjuez;Resto de infracciones penales;Enero-marzo 2020;381
- Municipio de Aranjuez;TOTAL INFRACCIONES PENALES;Enero-marzo 2020;571
- Municipio de Arganda del Rey;1.-Homicidios dolosos y asesinatos consumados;Enero-marzo 2020;0
- Municipio de Arganda del Rey;2.-Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2020;0
- Municipio de Arganda del Rey;3.-Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2020;10
- Municipio de Arganda del Rey;4.-Secuestro;Enero-marzo 2020;0
- Municipio de Arganda del Rey;5.-Delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;2
- Municipio de Arganda del Rey;5.1.-Agresión sexual con penetración;Enero-marzo 2020;1
- Municipio de Arganda del Rey;5.2.-Resto de delitos contra la libertad e indemnidad sexual;Enero-marzo 2020;1
- Municipio de Arganda del Rey;6.-Robos con violencia e intimidación;Enero-marzo 2020;15
