Municipios;Sexo;Periodo;Total
08001 Abrera;Total;2025;13.227
08001 Abrera;Total;2024;13.014
08001 Abrera;Total;2023;12.848
08001 Abrera;Total;2022;12.697
08001 Abrera;Total;2021;12.620
08001 Abrera;Total;2020;12.538
08001 Abrera;Total;2019;12.489
08001 Abrera;Total;2018;12.334
08001 Abrera;Total;2017;12.363
08001 Abrera;Total;2016;12.216
08002 Aguilar de Segarra;Total;2025;292
08002 Aguilar de Segarra;Total;2024;291
08002 Aguilar de Segarra;Total;2023;294
08002 Aguilar de Segarra;Total;2022;287
08002 Aguilar de Segarra;Total;2021;286
08002 Aguilar de Segarra;Total;2020;282
08002 Aguilar de Segarra;Total;2019;288
08002 Aguilar de Segarra;Total;2018;277
08002 Aguilar de Segarra;Total;2017;263
08002 Aguilar de Segarra;Total;2016;253
08014 Aiguafreda;Total;2025;2.569
08014 Aiguafreda;Total;2024;2.576
08014 Aiguafreda;Total;2023;2.567
08014 Aiguafreda;Total;2022;2.552
08014 Aiguafreda;Total;2021;2.556
08014 Aiguafreda;Total;2020;2.512
08014 Aiguafreda;Total;2019;2.504
08014 Aiguafreda;Total;2018;2.501
08014 Aiguafreda;Total;2017;2.514
08014 Aiguafreda;Total;2016;2.467
08003 Alella;Total;2025;10.262
08003 Alella;Total;2024;10.217
08003 Alella;Total;2023;10.139
08003 Alella;Total;2022;10.079
08003 Alella;Total;2021;9.954
08003 Alella;Total;2020;9.904
08003 Alella;Total;2019;9.801
08003 Alella;Total;2018;9.764
08003 Alella;Total;2017;9.625
08003 Alella;Total;2016;9.632
08004 Alpens;Total;2025;267
08004 Alpens;Total;2024;270
08004 Alpens;Total;2023;273
08004 Alpens;Total;2022;281
08004 Alpens;Total;2021;269
08004 Alpens;Total;2020;261
08004 Alpens;Total;2019;266
08004 Alpens;Total;2018;273
08004 Alpens;Total;2017;277
08004 Alpens;Total;2016;294
08005 Ametlla del Vallès, L';Total;2025;9.474
08005 Ametlla del Vallès, L';Total;2024;9.462
08005 Ametlla del Vallès, L';Total;2023;9.296
08005 Ametlla del Vallès, L';Total;2022;9.020
08005 Ametlla del Vallès, L';Total;2021;8.787
08005 Ametlla del Vallès, L';Total;2020;8.646
08005 Ametlla del Vallès, L';Total;2019;8.462
08005 Ametlla del Vallès, L';Total;2018;8.496
08005 Ametlla del Vallès, L';Total;2017;8.368
08005 Ametlla del Vallès, L';Total;2016;8.337
08006 Arenys de Mar;Total;2025;17.042
08006 Arenys de Mar;Total;2024;16.642
08006 Arenys de Mar;Total;2023;16.342
08006 Arenys de Mar;Total;2022;16.155
08006 Arenys de Mar;Total;2021;15.942
08006 Arenys de Mar;Total;2020;15.941
08006 Arenys de Mar;Total;2019;15.776
08006 Arenys de Mar;Total;2018;15.533
08006 Arenys de Mar;Total;2017;15.368
08006 Arenys de Mar;Total;2016;15.253
08007 Arenys de Munt;Total;2025;9.558
08007 Arenys de Munt;Total;2024;9.458
08007 Arenys de Munt;Total;2023;9.413
08007 Arenys de Munt;Total;2022;9.278
08007 Arenys de Munt;Total;2021;9.191
08007 Arenys de Munt;Total;2020;9.121
08007 Arenys de Munt;Total;2019;8.931
08007 Arenys de Munt;Total;2018;8.838
08007 Arenys de Munt;Total;2017;8.728
08007 Arenys de Munt;Total;2016;8.638
08008 Argençola;Total;2025;245
08008 Argençola;Total;2024;237
08008 Argençola;Total;2023;222
08008 Argençola;Total;2022;216
08008 Argençola;Total;2021;220
08008 Argençola;Total;2020;219
08008 Argençola;Total;2019;217
08008 Argençola;Total;2018;219
08008 Argençola;Total;2017;220
08008 Argençola;Total;2016;227
08009 Argentona;Total;2025;12.891
08009 Argentona;Total;2024;12.844
08009 Argentona;Total;2023;12.846
08009 Argentona;Total;2022;12.745
08009 Argentona;Total;2021;12.629
08009 Argentona;Total;2020;12.536
08009 Argentona;Total;2019;12.452
08009 Argentona;Total;2018;12.295
08009 Argentona;Total;2017;12.133
08009 Argentona;Total;2016;12.051
08010 Artés;Total;2025;6.225
08010 Artés;Total;2024;6.084
08010 Artés;Total;2023;5.994
08010 Artés;Total;2022;5.902
08010 Artés;Total;2021;5.782
08010 Artés;Total;2020;5.762
08010 Artés;Total;2019;5.698
08010 Artés;Total;2018;5.648
08010 Artés;Total;2017;5.585
08010 Artés;Total;2016;5.596
08011 Avià;Total;2025;2.267
08011 Avià;Total;2024;2.243
08011 Avià;Total;2023;2.249
08011 Avià;Total;2022;2.237
08011 Avià;Total;2021;2.199
08011 Avià;Total;2020;2.220
08011 Avià;Total;2019;2.226
08011 Avià;Total;2018;2.250
08011 Avià;Total;2017;2.249
08011 Avià;Total;2016;2.257
08012 Avinyó;Total;2025;2.322
08012 Avinyó;Total;2024;2.313
08012 Avinyó;Total;2023;2.289
08012 Avinyó;Total;2022;2.270
08012 Avinyó;Total;2021;2.286
08012 Avinyó;Total;2020;2.289
08012 Avinyó;Total;2019;2.275
08012 Avinyó;Total;2018;2.250
08012 Avinyó;Total;2017;2.240
08012 Avinyó;Total;2016;2.212
08013 Avinyonet del Penedès;Total;2025;1.782
08013 Avinyonet del Penedès;Total;2024;1.744
08013 Avinyonet del Penedès;Total;2023;1.732
08013 Avinyonet del Penedès;Total;2022;1.706
08013 Avinyonet del Penedès;Total;2021;1.701
08013 Avinyonet del Penedès;Total;2020;1.697
08013 Avinyonet del Penedès;Total;2019;1.701
08013 Avinyonet del Penedès;Total;2018;1.669
08013 Avinyonet del Penedès;Total;2017;1.653
08013 Avinyonet del Penedès;Total;2016;1.665
08015 Badalona;Total;2025;231.542
08015 Badalona;Total;2024;227.083
08015 Badalona;Total;2023;225.957
08015 Badalona;Total;2022;223.506
08015 Badalona;Total;2021;223.006
08015 Badalona;Total;2020;223.166
08015 Badalona;Total;2019;220.440
08015 Badalona;Total;2018;217.741
08015 Badalona;Total;2017;215.848
08015 Badalona;Total;2016;215.634
08904 Badia del Vallès;Total;2025;13.060
08904 Badia del Vallès;Total;2024;13.118
08904 Badia del Vallès;Total;2023;13.074
08904 Badia del Vallès;Total;2022;13.163
08904 Badia del Vallès;Total;2021;13.228
08904 Badia del Vallès;Total;2020;13.415
08904 Badia del Vallès;Total;2019;13.380
08904 Badia del Vallès;Total;2018;13.417
08904 Badia del Vallès;Total;2017;13.466
08904 Badia del Vallès;Total;2016;13.482
08016 Bagà;Total;2025;2.161
08016 Bagà;Total;2024;2.182
08016 Bagà;Total;2023;2.149
