Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;20.089
Provincia de ALICANTE/ALACANT;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;2
Provincia de ALICANTE/ALACANT;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;20
Provincia de ALICANTE/ALACANT;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;291
Provincia de ALICANTE/ALACANT;4. Secuestro;enero-marzo 2025;1
Provincia de ALICANTE/ALACANT;5. Delitos contra la libertad sexual;enero-marzo 2025;224
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;enero-marzo 2025;46
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad sexual;enero-marzo 2025;178
Provincia de ALICANTE/ALACANT;6. Robos con violencia e intimidación;enero-marzo 2025;421
Provincia de ALICANTE/ALACANT;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-marzo 2025;1.841
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;enero-marzo 2025;1.537
Provincia de ALICANTE/ALACANT;8. Hurtos;enero-marzo 2025;5.840
Provincia de ALICANTE/ALACANT;9. Sustracciones de vehículos;enero-marzo 2025;339
Provincia de ALICANTE/ALACANT;10. Tráfico de drogas;enero-marzo 2025;282
Provincia de ALICANTE/ALACANT;11. Resto de criminalidad convencional;enero-marzo 2025;10.828
Provincia de ALICANTE/ALACANT;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-marzo 2025;4.587
Provincia de ALICANTE/ALACANT;12.-Estafas informáticas;enero-marzo 2025;3.961
Provincia de ALICANTE/ALACANT;13.-Otros ciberdelitos;enero-marzo 2025;626
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-marzo 2025;24.676
03009 Alcoy/Alcoi;I. CRIMINALIDAD CONVENCIONAL;enero-marzo 2025;376
03009 Alcoy/Alcoi;1. Homicidios dolosos y asesinatos consumados;enero-marzo 2025;0
03009 Alcoy/Alcoi;2. Homicidios dolosos y asesinatos en grado tentativa;enero-marzo 2025;0
03009 Alcoy/Alcoi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-marzo 2025;3
03009 Alcoy/Alcoi;4. Secuestro;enero-marzo 2025;0
03009 Alcoy/Alcoi;5. Delitos contra la libertad sexual;enero-marzo 2025;6
