Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;19.296
Provincia de ALICANTE/ALACANT;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;2
Provincia de ALICANTE/ALACANT;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;14
Provincia de ALICANTE/ALACANT;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;247
Provincia de ALICANTE/ALACANT;4. Secuestro;Enero-marzo 2023;0
Provincia de ALICANTE/ALACANT;5. Delitos contra la libertad sexual;Enero-marzo 2023;185
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;Enero-marzo 2023;44
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;141
Provincia de ALICANTE/ALACANT;6. Robos con violencia e intimidación;Enero-marzo 2023;410
Provincia de ALICANTE/ALACANT;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;1.841
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;Enero-marzo 2023;1.500
Provincia de ALICANTE/ALACANT;8. Hurtos;Enero-marzo 2023;5.639
Provincia de ALICANTE/ALACANT;9. Sustracciones de vehículos;Enero-marzo 2023;310
Provincia de ALICANTE/ALACANT;10. Tráfico de drogas;Enero-marzo 2023;264
Provincia de ALICANTE/ALACANT;11. Resto de criminalidad convencional;Enero-marzo 2023;10.384
Provincia de ALICANTE/ALACANT;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-marzo 2023;4.142
Provincia de ALICANTE/ALACANT;12.-Estafas informáticas;Enero-marzo 2023;3.579
Provincia de ALICANTE/ALACANT;13.-Otros ciberdelitos;Enero-marzo 2023;563
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;Enero-marzo 2023;23.438
-Municipio de Alcoy/Alcoi;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;390
-Municipio de Alcoy/Alcoi;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;0
-Municipio de Alcoy/Alcoi;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;0
-Municipio de Alcoy/Alcoi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;1
-Municipio de Alcoy/Alcoi;4. Secuestro;Enero-marzo 2023;0
-Municipio de Alcoy/Alcoi;5. Delitos contra la libertad sexual;Enero-marzo 2023;3
-Municipio de Alcoy/Alcoi;5.1.-Agresión sexual con penetración;Enero-marzo 2023;0
-Municipio de Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;3
-Municipio de Alcoy/Alcoi;6. Robos con violencia e intimidación;Enero-marzo 2023;7
-Municipio de Alcoy/Alcoi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;45
-Municipio de Alcoy/Alcoi;7.1.-Robos con fuerza en domicilios;Enero-marzo 2023;34
-Municipio de Alcoy/Alcoi;8. Hurtos;Enero-marzo 2023;97
-Municipio de Alcoy/Alcoi;9. Sustracciones de vehículos;Enero-marzo 2023;10
-Municipio de Alcoy/Alcoi;10. Tráfico de drogas;Enero-marzo 2023;0
-Municipio de Alcoy/Alcoi;11. Resto de criminalidad convencional;Enero-marzo 2023;227
-Municipio de Alcoy/Alcoi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-marzo 2023;126
-Municipio de Alcoy/Alcoi;12.-Estafas informáticas;Enero-marzo 2023;104
-Municipio de Alcoy/Alcoi;13.-Otros ciberdelitos;Enero-marzo 2023;22
-Municipio de Alcoy/Alcoi;III. TOTAL INFRACCIONES PENALES;Enero-marzo 2023;516
-Municipio de L'Alfàs del Pi;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;237
-Municipio de L'Alfàs del Pi;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;0
-Municipio de L'Alfàs del Pi;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;0
-Municipio de L'Alfàs del Pi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;0
-Municipio de L'Alfàs del Pi;4. Secuestro;Enero-marzo 2023;0
-Municipio de L'Alfàs del Pi;5. Delitos contra la libertad sexual;Enero-marzo 2023;3
-Municipio de L'Alfàs del Pi;5.1.-Agresión sexual con penetración;Enero-marzo 2023;1
-Municipio de L'Alfàs del Pi;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;2
-Municipio de L'Alfàs del Pi;6. Robos con violencia e intimidación;Enero-marzo 2023;2
-Municipio de L'Alfàs del Pi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;39
-Municipio de L'Alfàs del Pi;7.1.-Robos con fuerza en domicilios;Enero-marzo 2023;33
-Municipio de L'Alfàs del Pi;8. Hurtos;Enero-marzo 2023;84
-Municipio de L'Alfàs del Pi;9. Sustracciones de vehículos;Enero-marzo 2023;4
-Municipio de L'Alfàs del Pi;10. Tráfico de drogas;Enero-marzo 2023;1
-Municipio de L'Alfàs del Pi;11. Resto de criminalidad convencional;Enero-marzo 2023;104
-Municipio de L'Alfàs del Pi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-marzo 2023;40
-Municipio de L'Alfàs del Pi;12.-Estafas informáticas;Enero-marzo 2023;35
-Municipio de L'Alfàs del Pi;13.-Otros ciberdelitos;Enero-marzo 2023;5
-Municipio de L'Alfàs del Pi;III. TOTAL INFRACCIONES PENALES;Enero-marzo 2023;277
-Municipio de Alicante/Alacant;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;4.587
-Municipio de Alicante/Alacant;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;0
-Municipio de Alicante/Alacant;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;3
-Municipio de Alicante/Alacant;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;36
-Municipio de Alicante/Alacant;4. Secuestro;Enero-marzo 2023;0
-Municipio de Alicante/Alacant;5. Delitos contra la libertad sexual;Enero-marzo 2023;51
-Municipio de Alicante/Alacant;5.1.-Agresión sexual con penetración;Enero-marzo 2023;15
-Municipio de Alicante/Alacant;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;36
-Municipio de Alicante/Alacant;6. Robos con violencia e intimidación;Enero-marzo 2023;138
-Municipio de Alicante/Alacant;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;155
-Municipio de Alicante/Alacant;7.1.-Robos con fuerza en domicilios;Enero-marzo 2023;113
-Municipio de Alicante/Alacant;8. Hurtos;Enero-marzo 2023;1.634
-Municipio de Alicante/Alacant;9. Sustracciones de vehículos;Enero-marzo 2023;78
-Municipio de Alicante/Alacant;10. Tráfico de drogas;Enero-marzo 2023;75
-Municipio de Alicante/Alacant;11. Resto de criminalidad convencional;Enero-marzo 2023;2.417
-Municipio de Alicante/Alacant;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-marzo 2023;995
-Municipio de Alicante/Alacant;12.-Estafas informáticas;Enero-marzo 2023;812
-Municipio de Alicante/Alacant;13.-Otros ciberdelitos;Enero-marzo 2023;183
-Municipio de Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;Enero-marzo 2023;5.582
-Municipio de Almoradí;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;221
-Municipio de Almoradí;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;0
-Municipio de Almoradí;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;0
-Municipio de Almoradí;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;4
-Municipio de Almoradí;4. Secuestro;Enero-marzo 2023;0
-Municipio de Almoradí;5. Delitos contra la libertad sexual;Enero-marzo 2023;0
-Municipio de Almoradí;5.1.-Agresión sexual con penetración;Enero-marzo 2023;0
-Municipio de Almoradí;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;0
-Municipio de Almoradí;6. Robos con violencia e intimidación;Enero-marzo 2023;5
-Municipio de Almoradí;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;28
-Municipio de Almoradí;7.1.-Robos con fuerza en domicilios;Enero-marzo 2023;22
-Municipio de Almoradí;8. Hurtos;Enero-marzo 2023;62
-Municipio de Almoradí;9. Sustracciones de vehículos;Enero-marzo 2023;0
-Municipio de Almoradí;10. Tráfico de drogas;Enero-marzo 2023;1
-Municipio de Almoradí;11. Resto de criminalidad convencional;Enero-marzo 2023;121
-Municipio de Almoradí;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-marzo 2023;41
-Municipio de Almoradí;12.-Estafas informáticas;Enero-marzo 2023;36
-Municipio de Almoradí;13.-Otros ciberdelitos;Enero-marzo 2023;5
-Municipio de Almoradí;III. TOTAL INFRACCIONES PENALES;Enero-marzo 2023;262
-Municipio de Altea;I. CRIMINALIDAD CONVENCIONAL;Enero-marzo 2023;345
-Municipio de Altea;1. Homicidios dolosos y asesinatos consumados;Enero-marzo 2023;0
-Municipio de Altea;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-marzo 2023;0
-Municipio de Altea;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-marzo 2023;2
-Municipio de Altea;4. Secuestro;Enero-marzo 2023;0
-Municipio de Altea;5. Delitos contra la libertad sexual;Enero-marzo 2023;1
-Municipio de Altea;5.1.-Agresión sexual con penetración;Enero-marzo 2023;1
-Municipio de Altea;5.2.-Resto de delitos contra la libertad sexual;Enero-marzo 2023;0
-Municipio de Altea;6. Robos con violencia e intimidación;Enero-marzo 2023;6
-Municipio de Altea;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-marzo 2023;60
