Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;41.381
Provincia de ALICANTE/ALACANT;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;4
Provincia de ALICANTE/ALACANT;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;33
Provincia de ALICANTE/ALACANT;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;557
Provincia de ALICANTE/ALACANT;4. Secuestro;Enero-junio 2023;0
Provincia de ALICANTE/ALACANT;5. Delitos contra la libertad sexual;Enero-junio 2023;447
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;Enero-junio 2023;97
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;350
Provincia de ALICANTE/ALACANT;6. Robos con violencia e intimidación;Enero-junio 2023;958
Provincia de ALICANTE/ALACANT;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;3.572
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;2.928
Provincia de ALICANTE/ALACANT;8. Hurtos;Enero-junio 2023;12.473
Provincia de ALICANTE/ALACANT;9. Sustracciones de vehículos;Enero-junio 2023;655
Provincia de ALICANTE/ALACANT;10. Tráfico de drogas;Enero-junio 2023;574
Provincia de ALICANTE/ALACANT;11. Resto de criminalidad convencional;Enero-junio 2023;22.108
Provincia de ALICANTE/ALACANT;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;8.381
Provincia de ALICANTE/ALACANT;12.-Estafas informáticas;Enero-junio 2023;7.297
Provincia de ALICANTE/ALACANT;13.-Otros ciberdelitos;Enero-junio 2023;1.084
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;49.762
-Municipio de Alcoy/Alcoi;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;782
-Municipio de Alcoy/Alcoi;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;0
-Municipio de Alcoy/Alcoi;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;0
-Municipio de Alcoy/Alcoi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;2
-Municipio de Alcoy/Alcoi;4. Secuestro;Enero-junio 2023;0
-Municipio de Alcoy/Alcoi;5. Delitos contra la libertad sexual;Enero-junio 2023;4
-Municipio de Alcoy/Alcoi;5.1.-Agresión sexual con penetración;Enero-junio 2023;0
-Municipio de Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;4
-Municipio de Alcoy/Alcoi;6. Robos con violencia e intimidación;Enero-junio 2023;12
-Municipio de Alcoy/Alcoi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;75
-Municipio de Alcoy/Alcoi;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;55
-Municipio de Alcoy/Alcoi;8. Hurtos;Enero-junio 2023;186
-Municipio de Alcoy/Alcoi;9. Sustracciones de vehículos;Enero-junio 2023;33
-Municipio de Alcoy/Alcoi;10. Tráfico de drogas;Enero-junio 2023;3
-Municipio de Alcoy/Alcoi;11. Resto de criminalidad convencional;Enero-junio 2023;467
-Municipio de Alcoy/Alcoi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;248
-Municipio de Alcoy/Alcoi;12.-Estafas informáticas;Enero-junio 2023;208
-Municipio de Alcoy/Alcoi;13.-Otros ciberdelitos;Enero-junio 2023;40
-Municipio de Alcoy/Alcoi;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;1.030
-Municipio de L'Alfàs del Pi;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;516
-Municipio de L'Alfàs del Pi;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;0
-Municipio de L'Alfàs del Pi;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;0
-Municipio de L'Alfàs del Pi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;2
-Municipio de L'Alfàs del Pi;4. Secuestro;Enero-junio 2023;0
-Municipio de L'Alfàs del Pi;5. Delitos contra la libertad sexual;Enero-junio 2023;4
-Municipio de L'Alfàs del Pi;5.1.-Agresión sexual con penetración;Enero-junio 2023;1
-Municipio de L'Alfàs del Pi;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;3
-Municipio de L'Alfàs del Pi;6. Robos con violencia e intimidación;Enero-junio 2023;11
-Municipio de L'Alfàs del Pi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;71
-Municipio de L'Alfàs del Pi;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;57
-Municipio de L'Alfàs del Pi;8. Hurtos;Enero-junio 2023;163
-Municipio de L'Alfàs del Pi;9. Sustracciones de vehículos;Enero-junio 2023;6
-Municipio de L'Alfàs del Pi;10. Tráfico de drogas;Enero-junio 2023;3
-Municipio de L'Alfàs del Pi;11. Resto de criminalidad convencional;Enero-junio 2023;256
-Municipio de L'Alfàs del Pi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;84
-Municipio de L'Alfàs del Pi;12.-Estafas informáticas;Enero-junio 2023;73
-Municipio de L'Alfàs del Pi;13.-Otros ciberdelitos;Enero-junio 2023;11
-Municipio de L'Alfàs del Pi;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;600
-Municipio de Alicante/Alacant;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;9.989
-Municipio de Alicante/Alacant;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;2
-Municipio de Alicante/Alacant;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;12
-Municipio de Alicante/Alacant;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;106
-Municipio de Alicante/Alacant;4. Secuestro;Enero-junio 2023;0
-Municipio de Alicante/Alacant;5. Delitos contra la libertad sexual;Enero-junio 2023;116
-Municipio de Alicante/Alacant;5.1.-Agresión sexual con penetración;Enero-junio 2023;27
-Municipio de Alicante/Alacant;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;89
-Municipio de Alicante/Alacant;6. Robos con violencia e intimidación;Enero-junio 2023;344
-Municipio de Alicante/Alacant;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;345
-Municipio de Alicante/Alacant;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;249
-Municipio de Alicante/Alacant;8. Hurtos;Enero-junio 2023;3.622
-Municipio de Alicante/Alacant;9. Sustracciones de vehículos;Enero-junio 2023;176
-Municipio de Alicante/Alacant;10. Tráfico de drogas;Enero-junio 2023;171
-Municipio de Alicante/Alacant;11. Resto de criminalidad convencional;Enero-junio 2023;5.095
-Municipio de Alicante/Alacant;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;1.917
-Municipio de Alicante/Alacant;12.-Estafas informáticas;Enero-junio 2023;1.604
-Municipio de Alicante/Alacant;13.-Otros ciberdelitos;Enero-junio 2023;313
-Municipio de Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;11.906
-Municipio de Almoradí;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;426
-Municipio de Almoradí;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;0
-Municipio de Almoradí;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;0
-Municipio de Almoradí;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;6
-Municipio de Almoradí;4. Secuestro;Enero-junio 2023;0
-Municipio de Almoradí;5. Delitos contra la libertad sexual;Enero-junio 2023;1
-Municipio de Almoradí;5.1.-Agresión sexual con penetración;Enero-junio 2023;0
-Municipio de Almoradí;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;1
-Municipio de Almoradí;6. Robos con violencia e intimidación;Enero-junio 2023;9
-Municipio de Almoradí;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;46
-Municipio de Almoradí;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;33
-Municipio de Almoradí;8. Hurtos;Enero-junio 2023;123
-Municipio de Almoradí;9. Sustracciones de vehículos;Enero-junio 2023;1
-Municipio de Almoradí;10. Tráfico de drogas;Enero-junio 2023;4
-Municipio de Almoradí;11. Resto de criminalidad convencional;Enero-junio 2023;236
-Municipio de Almoradí;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;96
-Municipio de Almoradí;12.-Estafas informáticas;Enero-junio 2023;83
-Municipio de Almoradí;13.-Otros ciberdelitos;Enero-junio 2023;13
-Municipio de Almoradí;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;522
-Municipio de Altea;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;714
-Municipio de Altea;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;0
-Municipio de Altea;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;0
-Municipio de Altea;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;10
-Municipio de Altea;4. Secuestro;Enero-junio 2023;0
-Municipio de Altea;5. Delitos contra la libertad sexual;Enero-junio 2023;6
-Municipio de Altea;5.1.-Agresión sexual con penetración;Enero-junio 2023;1
-Municipio de Altea;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;5
-Municipio de Altea;6. Robos con violencia e intimidación;Enero-junio 2023;13
-Municipio de Altea;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;109
-Municipio de Altea;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;86
-Municipio de Altea;8. Hurtos;Enero-junio 2023;223
-Municipio de Altea;9. Sustracciones de vehículos;Enero-junio 2023;12
-Municipio de Altea;10. Tráfico de drogas;Enero-junio 2023;3
-Municipio de Altea;11. Resto de criminalidad convencional;Enero-junio 2023;338
-Municipio de Altea;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;124
-Municipio de Altea;12.-Estafas informáticas;Enero-junio 2023;110
-Municipio de Altea;13.-Otros ciberdelitos;Enero-junio 2023;14
-Municipio de Altea;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;838
-Municipio de Aspe;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;325
-Municipio de Aspe;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;1
-Municipio de Aspe;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;1
-Municipio de Aspe;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;4
-Municipio de Aspe;4. Secuestro;Enero-junio 2023;0
-Municipio de Aspe;5. Delitos contra la libertad sexual;Enero-junio 2023;3
-Municipio de Aspe;5.1.-Agresión sexual con penetración;Enero-junio 2023;0
-Municipio de Aspe;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;3
-Municipio de Aspe;6. Robos con violencia e intimidación;Enero-junio 2023;5
-Municipio de Aspe;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;38
-Municipio de Aspe;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;26
-Municipio de Aspe;8. Hurtos;Enero-junio 2023;46
-Municipio de Aspe;9. Sustracciones de vehículos;Enero-junio 2023;0
-Municipio de Aspe;10. Tráfico de drogas;Enero-junio 2023;2
-Municipio de Aspe;11. Resto de criminalidad convencional;Enero-junio 2023;225
-Municipio de Aspe;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-junio 2023;86
-Municipio de Aspe;12.-Estafas informáticas;Enero-junio 2023;61
-Municipio de Aspe;13.-Otros ciberdelitos;Enero-junio 2023;25
-Municipio de Aspe;III. TOTAL INFRACCIONES PENALES;Enero-junio 2023;411
-Municipio de Benidorm;I. CRIMINALIDAD CONVENCIONAL;Enero-junio 2023;2.270
-Municipio de Benidorm;1. Homicidios dolosos y asesinatos consumados;Enero-junio 2023;0
-Municipio de Benidorm;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-junio 2023;4
-Municipio de Benidorm;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-junio 2023;89
-Municipio de Benidorm;4. Secuestro;Enero-junio 2023;0
-Municipio de Benidorm;5. Delitos contra la libertad sexual;Enero-junio 2023;31
-Municipio de Benidorm;5.1.-Agresión sexual con penetración;Enero-junio 2023;11
-Municipio de Benidorm;5.2.-Resto de delitos contra la libertad sexual;Enero-junio 2023;20
-Municipio de Benidorm;6. Robos con violencia e intimidación;Enero-junio 2023;47
-Municipio de Benidorm;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-junio 2023;78
-Municipio de Benidorm;7.1.-Robos con fuerza en domicilios;Enero-junio 2023;53
-Municipio de Benidorm;8. Hurtos;Enero-junio 2023;868
-Municipio de Benidorm;9. Sustracciones de vehículos;Enero-junio 2023;24
-Municipio de Benidorm;10. Tráfico de drogas;Enero-junio 2023;77
-Municipio de Benidorm;11. Resto de criminalidad convencional;Enero-junio 2023;1.052
