Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;66.624
Provincia de ALICANTE/ALACANT;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;10
Provincia de ALICANTE/ALACANT;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;52
Provincia de ALICANTE/ALACANT;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;948
Provincia de ALICANTE/ALACANT;4. Secuestro;enero-septiembre 2023;3
Provincia de ALICANTE/ALACANT;5. Delitos contra la libertad sexual;enero-septiembre 2023;740
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;enero-septiembre 2023;167
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;573
Provincia de ALICANTE/ALACANT;6. Robos con violencia e intimidación;enero-septiembre 2023;1.530
Provincia de ALICANTE/ALACANT;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;enero-septiembre 2023;5.528
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;enero-septiembre 2023;4.588
Provincia de ALICANTE/ALACANT;8. Hurtos;enero-septiembre 2023;20.833
Provincia de ALICANTE/ALACANT;9. Sustracciones de vehículos;enero-septiembre 2023;1.045
Provincia de ALICANTE/ALACANT;10. Tráfico de drogas;enero-septiembre 2023;842
Provincia de ALICANTE/ALACANT;11. Resto de criminalidad convencional;enero-septiembre 2023;35.093
Provincia de ALICANTE/ALACANT;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);enero-septiembre 2023;13.136
Provincia de ALICANTE/ALACANT;12.-Estafas informáticas;enero-septiembre 2023;11.539
Provincia de ALICANTE/ALACANT;13.-Otros ciberdelitos;enero-septiembre 2023;1.597
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;enero-septiembre 2023;79.760
-Municipio de Alcoy/Alcoi;I. CRIMINALIDAD CONVENCIONAL;enero-septiembre 2023;1.149
-Municipio de Alcoy/Alcoi;1. Homicidios dolosos y asesinatos consumados;enero-septiembre 2023;0
-Municipio de Alcoy/Alcoi;2. Homicidios dolosos y asesinatos en grado tentativa;enero-septiembre 2023;0
-Municipio de Alcoy/Alcoi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;enero-septiembre 2023;3
-Municipio de Alcoy/Alcoi;4. Secuestro;enero-septiembre 2023;0
-Municipio de Alcoy/Alcoi;5. Delitos contra la libertad sexual;enero-septiembre 2023;7
-Municipio de Alcoy/Alcoi;5.1.-Agresión sexual con penetración;enero-septiembre 2023;1
-Municipio de Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad sexual;enero-septiembre 2023;6
-Municipio de Alcoy/Alcoi;6. Robos con violencia e intimidación;enero-septiembre 2023;23
