Geografía;Tipología penal;Periodos:;Total
Provincia de ALICANTE/ALACANT;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;81.296
Provincia de ALICANTE/ALACANT;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;12
Provincia de ALICANTE/ALACANT;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;52
Provincia de ALICANTE/ALACANT;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;1.137
Provincia de ALICANTE/ALACANT;4. Secuestro;Enero-diciembre 2022;5
Provincia de ALICANTE/ALACANT;5. Delitos contra la libertad sexual;Enero-diciembre 2022;897
Provincia de ALICANTE/ALACANT;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;161
Provincia de ALICANTE/ALACANT;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;736
Provincia de ALICANTE/ALACANT;6. Robos con violencia e intimidación;Enero-diciembre 2022;1.583
Provincia de ALICANTE/ALACANT;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;7.037
Provincia de ALICANTE/ALACANT;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;5.966
Provincia de ALICANTE/ALACANT;8. Hurtos;Enero-diciembre 2022;24.285
Provincia de ALICANTE/ALACANT;9. Sustracciones de vehículos;Enero-diciembre 2022;1.204
Provincia de ALICANTE/ALACANT;10. Tráfico de drogas;Enero-diciembre 2022;961
Provincia de ALICANTE/ALACANT;11. Resto de criminalidad convencional;Enero-diciembre 2022;44.123
Provincia de ALICANTE/ALACANT;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;13.067
Provincia de ALICANTE/ALACANT;12.-Estafas informáticas;Enero-diciembre 2022;11.271
Provincia de ALICANTE/ALACANT;13.-Otros ciberdelitos;Enero-diciembre 2022;1.796
Provincia de ALICANTE/ALACANT;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;94.363
-Municipio de Alcoy/Alcoi;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;1.502
-Municipio de Alcoy/Alcoi;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;2
-Municipio de Alcoy/Alcoi;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;2
-Municipio de Alcoy/Alcoi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;16
-Municipio de Alcoy/Alcoi;4. Secuestro;Enero-diciembre 2022;0
-Municipio de Alcoy/Alcoi;5. Delitos contra la libertad sexual;Enero-diciembre 2022;28
-Municipio de Alcoy/Alcoi;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;6
-Municipio de Alcoy/Alcoi;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;22
-Municipio de Alcoy/Alcoi;6. Robos con violencia e intimidación;Enero-diciembre 2022;29
-Municipio de Alcoy/Alcoi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;124
-Municipio de Alcoy/Alcoi;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;106
-Municipio de Alcoy/Alcoi;8. Hurtos;Enero-diciembre 2022;381
-Municipio de Alcoy/Alcoi;9. Sustracciones de vehículos;Enero-diciembre 2022;25
-Municipio de Alcoy/Alcoi;10. Tráfico de drogas;Enero-diciembre 2022;8
-Municipio de Alcoy/Alcoi;11. Resto de criminalidad convencional;Enero-diciembre 2022;887
-Municipio de Alcoy/Alcoi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;543
-Municipio de Alcoy/Alcoi;12.-Estafas informáticas;Enero-diciembre 2022;466
-Municipio de Alcoy/Alcoi;13.-Otros ciberdelitos;Enero-diciembre 2022;77
-Municipio de Alcoy/Alcoi;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;2.045
-Municipio de L'Alfàs del Pi;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;941
-Municipio de L'Alfàs del Pi;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;0
-Municipio de L'Alfàs del Pi;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;0
-Municipio de L'Alfàs del Pi;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;12
-Municipio de L'Alfàs del Pi;4. Secuestro;Enero-diciembre 2022;0
-Municipio de L'Alfàs del Pi;5. Delitos contra la libertad sexual;Enero-diciembre 2022;6
-Municipio de L'Alfàs del Pi;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;2
-Municipio de L'Alfàs del Pi;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;4
-Municipio de L'Alfàs del Pi;6. Robos con violencia e intimidación;Enero-diciembre 2022;13
-Municipio de L'Alfàs del Pi;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;94
-Municipio de L'Alfàs del Pi;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;80
-Municipio de L'Alfàs del Pi;8. Hurtos;Enero-diciembre 2022;366
-Municipio de L'Alfàs del Pi;9. Sustracciones de vehículos;Enero-diciembre 2022;20
-Municipio de L'Alfàs del Pi;10. Tráfico de drogas;Enero-diciembre 2022;4
-Municipio de L'Alfàs del Pi;11. Resto de criminalidad convencional;Enero-diciembre 2022;426
-Municipio de L'Alfàs del Pi;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;78
-Municipio de L'Alfàs del Pi;12.-Estafas informáticas;Enero-diciembre 2022;70
-Municipio de L'Alfàs del Pi;13.-Otros ciberdelitos;Enero-diciembre 2022;8
-Municipio de L'Alfàs del Pi;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;1.019
-Municipio de Alicante/Alacant;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;17.745
-Municipio de Alicante/Alacant;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;1
-Municipio de Alicante/Alacant;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;20
-Municipio de Alicante/Alacant;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;207
-Municipio de Alicante/Alacant;4. Secuestro;Enero-diciembre 2022;0
-Municipio de Alicante/Alacant;5. Delitos contra la libertad sexual;Enero-diciembre 2022;218
-Municipio de Alicante/Alacant;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;39
-Municipio de Alicante/Alacant;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;179
-Municipio de Alicante/Alacant;6. Robos con violencia e intimidación;Enero-diciembre 2022;534
-Municipio de Alicante/Alacant;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;716
-Municipio de Alicante/Alacant;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;557
-Municipio de Alicante/Alacant;8. Hurtos;Enero-diciembre 2022;6.441
-Municipio de Alicante/Alacant;9. Sustracciones de vehículos;Enero-diciembre 2022;346
-Municipio de Alicante/Alacant;10. Tráfico de drogas;Enero-diciembre 2022;334
-Municipio de Alicante/Alacant;11. Resto de criminalidad convencional;Enero-diciembre 2022;8.928
-Municipio de Alicante/Alacant;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;3.476
-Municipio de Alicante/Alacant;12.-Estafas informáticas;Enero-diciembre 2022;2.950
-Municipio de Alicante/Alacant;13.-Otros ciberdelitos;Enero-diciembre 2022;526
-Municipio de Alicante/Alacant;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;21.221
-Municipio de Almoradí;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;891
-Municipio de Almoradí;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;0
-Municipio de Almoradí;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;0
-Municipio de Almoradí;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;12
-Municipio de Almoradí;4. Secuestro;Enero-diciembre 2022;0
-Municipio de Almoradí;5. Delitos contra la libertad sexual;Enero-diciembre 2022;12
-Municipio de Almoradí;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;1
-Municipio de Almoradí;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;11
-Municipio de Almoradí;6. Robos con violencia e intimidación;Enero-diciembre 2022;23
-Municipio de Almoradí;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;45
-Municipio de Almoradí;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;38
-Municipio de Almoradí;8. Hurtos;Enero-diciembre 2022;196
-Municipio de Almoradí;9. Sustracciones de vehículos;Enero-diciembre 2022;5
-Municipio de Almoradí;10. Tráfico de drogas;Enero-diciembre 2022;12
-Municipio de Almoradí;11. Resto de criminalidad convencional;Enero-diciembre 2022;586
-Municipio de Almoradí;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;129
-Municipio de Almoradí;12.-Estafas informáticas;Enero-diciembre 2022;110
-Municipio de Almoradí;13.-Otros ciberdelitos;Enero-diciembre 2022;19
-Municipio de Almoradí;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;1.020
-Municipio de Altea;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;1.303
-Municipio de Altea;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;0
-Municipio de Altea;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;0
-Municipio de Altea;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;10
-Municipio de Altea;4. Secuestro;Enero-diciembre 2022;0
-Municipio de Altea;5. Delitos contra la libertad sexual;Enero-diciembre 2022;6
-Municipio de Altea;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;1
-Municipio de Altea;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;5
-Municipio de Altea;6. Robos con violencia e intimidación;Enero-diciembre 2022;25
-Municipio de Altea;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;205
-Municipio de Altea;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;178
-Municipio de Altea;8. Hurtos;Enero-diciembre 2022;350
-Municipio de Altea;9. Sustracciones de vehículos;Enero-diciembre 2022;14
-Municipio de Altea;10. Tráfico de drogas;Enero-diciembre 2022;6
-Municipio de Altea;11. Resto de criminalidad convencional;Enero-diciembre 2022;687
-Municipio de Altea;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;107
-Municipio de Altea;12.-Estafas informáticas;Enero-diciembre 2022;94
-Municipio de Altea;13.-Otros ciberdelitos;Enero-diciembre 2022;13
-Municipio de Altea;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;1.410
-Municipio de Aspe;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;573
-Municipio de Aspe;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;0
-Municipio de Aspe;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;0
-Municipio de Aspe;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;6
-Municipio de Aspe;4. Secuestro;Enero-diciembre 2022;0
-Municipio de Aspe;5. Delitos contra la libertad sexual;Enero-diciembre 2022;3
-Municipio de Aspe;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;1
-Municipio de Aspe;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;2
-Municipio de Aspe;6. Robos con violencia e intimidación;Enero-diciembre 2022;5
-Municipio de Aspe;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;71
-Municipio de Aspe;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;65
-Municipio de Aspe;8. Hurtos;Enero-diciembre 2022;98
-Municipio de Aspe;9. Sustracciones de vehículos;Enero-diciembre 2022;3
-Municipio de Aspe;10. Tráfico de drogas;Enero-diciembre 2022;5
-Municipio de Aspe;11. Resto de criminalidad convencional;Enero-diciembre 2022;382
-Municipio de Aspe;II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber);Enero-diciembre 2022;90
-Municipio de Aspe;12.-Estafas informáticas;Enero-diciembre 2022;68
-Municipio de Aspe;13.-Otros ciberdelitos;Enero-diciembre 2022;22
-Municipio de Aspe;III. TOTAL INFRACCIONES PENALES;Enero-diciembre 2022;663
-Municipio de Benidorm;I. CRIMINALIDAD CONVENCIONAL;Enero-diciembre 2022;4.576
-Municipio de Benidorm;1. Homicidios dolosos y asesinatos consumados;Enero-diciembre 2022;2
-Municipio de Benidorm;2. Homicidios dolosos y asesinatos en grado tentativa;Enero-diciembre 2022;1
-Municipio de Benidorm;3. Delitos graves y menos graves de lesiones y riña tumultuaria;Enero-diciembre 2022;129
-Municipio de Benidorm;4. Secuestro;Enero-diciembre 2022;1
-Municipio de Benidorm;5. Delitos contra la libertad sexual;Enero-diciembre 2022;49
-Municipio de Benidorm;5.1.-Agresión sexual con penetración;Enero-diciembre 2022;19
-Municipio de Benidorm;5.2.-Resto de delitos contra la libertad sexual;Enero-diciembre 2022;30
-Municipio de Benidorm;6. Robos con violencia e intimidación;Enero-diciembre 2022;98
-Municipio de Benidorm;7. Robos con fuerza en domicilios, establecimientos y otras instalaciones;Enero-diciembre 2022;164
-Municipio de Benidorm;7.1.-Robos con fuerza en domicilios;Enero-diciembre 2022;102
-Municipio de Benidorm;8. Hurtos;Enero-diciembre 2022;1.854
-Municipio de Benidorm;9. Sustracciones de vehículos;Enero-diciembre 2022;55
